Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60,Word 61,Word 62,Word 63,Word 64,Word 65,Word 66,Word 67,Word 68,Word 69,Word 70,Word 71,Word 72,Word 73,Word 74,Word 75,Word 76,Word 77,Word 78,Word 79,Word 80,Word 81,Word 82,Word 83,Word 84,Word 85,Word 86,Word 87,Word 88,Word 89,Word 90,Word 91,Word 92,Word 93,Word 94,Word 95,Word 96,Word 97,Word 98,Word 99
pt,cindy,accompanied,test,scmm,breast,health,ibccp,carol,normal,return,year,10,said,advised,okay,changes,ultrasound,referral,2017,years,schedule,mo,recommended,pain,called,12,months,ago,30,tissue,2015,dxmm,seen,told,pcp,stereo,17,lump,benign,felt,pap,biopsy,perez,left,hpv,patient,just,bx,needs,2016,mercy,surgery,fibroadenoma,hagen,weiss,doesnt,follow,screening,lot,ekg,15,questions,insurance,ecc,came,colpo,dr,interpreted,weeks,shuping,blood,result,time,need,day,procedure,serena,lumpectomy,yrs,lumps,annual,doctor,month,near,mmg,come,dexa,right,support,cyst,11,cin,getting,change,asked,gyne,old,check,24
shuping,interpreted,dxmm,ultrasound,pt,bx,scmm,accompanied,today,cyst,theres,old,needed,getting,carole,order,right,annual,16,come,cbe,schedule,referral,lump,day,perez,new,lumps,dexa,pain,need,24,abnormal,stereo,felt,11,pcp,advised,seen,12,recommended,did,30,came,17,help,15,asked,mmg,normal,dr,fine,results,2016,breast,plan,shown,check,year,biopsy,cindy,2017,procedure,tissue,surgery,smear,ibccp,week,weiss,concern,insurance,ekg,mo,freeman,appt,2015,scheduled,months,blood,screening,recommend,pap,hpv,change,10,mass,month,regular,serena,hagen,gyne,weeks,result,left,patient,fibroadenoma,calcification,benign,return,needs
result,come,10,just,change,dr,pcp,plan,medicaid,mercy,called,need,day,mmg,15,help,24,new,pain,theres,weiss,perez,lump,worried,changes,mo,mri,near,scmm,dxmm,abnormal,didnt,serena,colpo,cyst,doctor,cin,lumps,return,referral,advised,follow,doesnt,care,30,ultrasound,ago,bx,annual,left,year,told,smear,yrs,recommended,time,months,hpv,17,12,pt,make,breast,blood,questions,order,2017,2015,pap,fibroadenoma,years,surgery,biopsy,patient,benign,sure,cindy,insurance,screening,accompanied,scheduled,support,appt,high,ekg,concern,china,today,11,check,felt,16,regular,normal,lumpectomy,right,sun,results,okay,freeman
blood,surgery,lumpectomy,high,today,ekg,test,decided,carol,said,mass,come,family,week,patient,cbe,old,new,did,years,dr,check,ago,doctor,mmg,left,order,pt,benign,day,pretty,24,2017,pap,schedule,screening,hagen,right,came,insurance,needs,dxmm,care,15,scheduled,took,mercy,30,told,breast,need,17,scmm,16,biopsy,year,perez,change,months,ibccp,result,12,cyst,pcp,theres,regular,bx,shuping,worried,sun,2016,questions,medicaid,yrs,abnormal,dexa,doesnt,felt,concern,results,getting,colpo,carole,seen,freeman,cindy,gyne,shown,ultrasound,changes,china,hpv,smear,weiss,stereo,fine,referral,interpreted,appt,fibroadenoma
took,decided,seen,pretty,cbe,weiss,ago,patient,serena,cyst,lumpectomy,need,biopsy,mercy,dr,doctor,pain,asked,mass,calcification,high,sure,pt,mmg,left,years,care,right,needs,breast,pap,help,scheduled,yrs,lump,normal,told,said,dxmm,abnormal,blood,follow,scmm,doesnt,ibccp,hpv,smear,today,screening,24,15,medicaid,questions,make,gyne,just,support,year,insurance,lumps,referral,bx,felt,time,shown,health,appt,recommend,2016,hagen,old,okay,mri,sun,week,schedule,order,months,needed,china,cin,2015,didnt,getting,shuping,regular,advised,change,2017,accompanied,interpreted,mo,called,11,month,result,return,cindy,annual,changes
dr,biopsy,pt,result,weeks,appt,did,freeman,follow,ecc,abnormal,colpo,come,schedule,patient,results,bx,took,didnt,surgery,lot,week,pcp,2016,need,procedure,11,weiss,felt,month,right,referral,said,24,family,2017,months,called,support,fine,normal,okay,shown,lumps,day,high,check,getting,15,return,test,theres,pain,recommended,cin,mercy,interpreted,pap,sun,told,carole,serena,came,shuping,doesnt,breast,worried,dxmm,hpv,perez,advised,mass,hagen,asked,today,lumpectomy,12,ekg,needs,ultrasound,2015,left,insurance,10,china,lump,questions,calcification,gyne,plan,carol,time,fibroadenoma,doctor,care,help,yrs,accompanied,smear,annual
lump,sure,weiss,yrs,dr,fibroadenoma,breast,doesnt,said,advised,need,mo,bx,make,month,pretty,12,today,didnt,new,seen,okay,china,appt,tissue,ago,return,family,normal,carol,years,referral,mmg,serena,left,right,theres,months,just,pcp,pain,annual,concern,recommended,biopsy,mri,doctor,ultrasound,dxmm,pt,lumps,changes,10,change,getting,2015,old,schedule,cyst,help,year,come,felt,30,calcification,near,took,hagen,told,follow,benign,17,came,accompanied,time,cindy,scmm,called,patient,perez,weeks,mass,mercy,insurance,hpv,screening,ibccp,decided,pap,sun,dexa,order,2017,carole,surgery,abnormal,cin,regular,24,shuping
come,bx,breast,dr,year,right,need,pt,perez,16,17,2017,12,dxmm,recommend,scmm,month,today,30,serena,cyst,stereo,mass,said,pain,return,check,came,plan,old,lumpectomy,mri,okay,weiss,years,2015,left,week,result,24,lot,lumps,needs,appt,biopsy,2016,recommended,months,new,15,changes,theres,ultrasound,weeks,mo,procedure,fibroadenoma,sun,advised,pretty,doctor,patient,mmg,just,blood,10,order,sure,screening,carol,high,told,pap,benign,near,interpreted,concern,follow,did,shuping,needed,mercy,hagen,time,help,scheduled,annual,lump,schedule,results,cindy,calcification,asked,hpv,surgery,worried,ecc,regular,normal,ago
left,breast,need,pt,screening,year,lump,calcification,biopsy,annual,shown,regular,needed,dxmm,just,support,theres,cyst,mmg,month,concern,pretty,normal,fine,mo,okay,stereo,didnt,seen,new,right,felt,old,serena,make,recommended,benign,fu,bx,weiss,come,lumps,12,ultrasound,patient,sure,scheduled,day,surgery,pap,pain,schedule,lumpectomy,months,changes,high,questions,result,dr,ago,change,mercy,time,asked,getting,perez,came,2017,worried,took,appt,cindy,gyne,pcp,decided,help,ibccp,lot,week,told,blood,today,abnormal,weeks,hpv,insurance,mass,cbe,smear,scmm,24,family,interpreted,plan,check,15,test,ecc,care,did
year,appt,follow,weeks,dr,colpo,didnt,result,procedure,come,cin,pap,month,2016,hpv,results,pain,help,yrs,time,high,24,test,return,mo,worried,10,screening,30,mass,getting,cindy,needed,referral,family,sure,right,normal,said,recommended,breast,cbe,calcification,lumps,medicaid,pcp,mri,cyst,benign,tissue,stereo,years,fu,accompanied,11,order,2015,decided,pretty,told,okay,shuping,advised,ultrasound,china,mmg,17,health,16,dxmm,did,left,scmm,schedule,concern,called,serena,make,need,change,surgery,15,needs,seen,support,new,scheduled,bx,day,interpreted,near,week,fibroadenoma,just,ibccp,doesnt,smear,carol,abnormal,felt
